	id	exchange_rxns_iML1515	transport_rxns_iML1515	exchange_rxns_iYO844	transport_rxns_iYO844	exchange_rxns_iAF692	transport_rxns_iAF692	exchange_rxns	transport_rxns
403	CPD-3582			EX_madg_e					
404	MANNOSE-1P			EX_man1p_e	MAN1Pt6				MAN1Pt6
405	mbdg			EX_mbdg_e					
406	met_L_ala__L			EX_met_L_ala__L_e	DIPEPabc12				DIPEPabc12
407	metox__R			EX_metox__R_e	METSRabc				METSRabc
408	mops			EX_mops_e	MOPSabc				MOPSabc
409	CPD-230			EX_pala_e	PALAt2				PALAt2
410	PHOSPHO-ENOL-PYRUVATE			EX_pep_e	PEPt6				PEPt6
411	PPI			EX_ppi_e	PPIabc				PPIabc
412	CPD-821			EX_prolb_e	TRANS-RXN-324				TRANS-RXN-324
413	CPD-3722			EX_pser__D_e	PSER_Dt6				PSER_Dt6
414	CPD-173			TRANS-RXN0-528	2HXMPt6				2HXMPt6
415	2-PG			EX_2pg_e	2PGt6				2PGt6
416	CPD-67			EX_2pglyc_e	2PGLYCt6				2PGLYCt6
417	CPD-4748			EX_3amba_e	3AMBAt2				3AMBAt2
418	G3P			EX_3pg_e	3PGt6				3PGt6
419	unknown_rbfdeg					EX_unknown_rbfdeg_e	UNK_RBFDEGt		
420	Elemental-Sulfur					EX_s_e	St		
421	P-AMINO-BENZOATE					EX_4abz_e	4ABZt2r		
422	4-HYDROXYPHENYLACETATE					EX_4hphac_e	HPACt2r		
423	2-ACETO-LACTATE					EX_alac__S_e	ALACt2r		
424	cbl1hbi					EX_cbl1hbi_e	CBL1HBIabc		
425	CPD-7671					EX_ch4s_e	CH4St		
426	CARBON-MONOXIDE					EX_co_e	TRANS-RXN0-556		
427	DIMETHYLAMINE					EX_dma_e	DMAt		
428	GLYCOLALDEHYDE					EX_gcald_e	GCALDt		
429	INDOLE_ACETATE_AUXIN					EX_ind3ac_e	IND3ACt2r		
430	METHYLAMINE					EX_mma_e	MMAt		
431	NITROGEN-MOLECULE					EX_n2_e	N2tr		
432	PHENYLACETATE					EX_pac_e			
433	unknown_cbl1deg					EX_unknown_cbl1deg_e	UNK_CBL1DEGt		
