	id	Ruminococcus_sp_5_1_39BFAA	Streptococcus_parasanguinis	Lactobacillus_salivarius	Prevotella_copri	Roseburia_inulinivorans	Bifidobacterium_pseudolongum	Clostridium_sp_SS2_1	Bacteroides_uniformis	Fusobacterium_mortiferum	Megasphaera_elsdenii	Clostridium_bartlettii	Parabacteroides_johnsonii	Haemophilus_parainfluenzae	Dialister_succinatiphilus	Catenibacterium_mitsuokai	Staphylococcus_warneri	Bifidobacterium_breve	Enterobacter_aerogenes	Enterococcus_faecalis	Roseburia_intestinalis	Bifidobacterium_adolescentis	Ruminococcus_bromii	Bifidobacterium_longum	Streptococcus_vestibularis	Clostridium_paraputrificum	Bifidobacterium_pseudocatenulatum	Succinivibrio_dextrinosolvens	Bacteroides_intestinalis	Faecalibacterium_prausnitzii	Weissella_cibaria	Lactobacillus_rhamnosus	Bacteroides_caccae	Veillonella_dispar	Dorea_formicigenerans	Lactobacillus_mucosae	Lactobacillus_ruminis	Bifidobacterium_bifidum	Bacteroides_stercoris	Parabacteroides_distasonis	Bacteroides_ovatus	Eubacterium_eligens	Collinsella_aerofaciens	Streptococcus_thermophilus	Bacteroides_thetaiotaomicron	Veillonella_atypica	Faecalibacterium_cf	Bacteroides_fragilis	Bacteroides_vulgatus	Escherichia_coli	Eubacterium_rectale	Ruminococcus_torques	Clostridium_ramosum	Ruminococcus_obeum	Ruminococcus_lactaris	Subdoligranulum_variabile	Dorea_longicatena	Eubacterium_biforme	Ruminococcus_gnavus
10	cpd00060[c0]	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.127801422590767	-0.11349826883634	-0.127801422590767	-0.11349826883634	-0.127801422590767	-0.127801422590767	-0.127801422590767	-0.11349826883634	-0.127801422590767	-0.127801422590767	-0.127801422590767	-0.11349826883634	-0.11349826883634	-0.127801422590767	-0.127801422590767	-0.11349826883634	-0.11349826883634	-0.127801422590767	-0.11349826883634	-0.127801422590767	-0.11349826883634	-0.11349826883634	-0.127801422590767	-0.127801422590767	-0.127801422590767	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.127801422590767	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.127801422590767	-0.127801422590767	-0.127801422590767	-0.127801422590767	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.127801422590767	-0.127801422590767	-0.11349826883634	-0.127801422590767	-0.127801422590767	-0.127801422590767	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.11349826883634	-0.11349826883634
11	cpd00035[c0]	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.427934380173264	-0.267560900902997	-0.427934380173264	-0.267560900902997	-0.427934380173264	-0.427934380173264	-0.427934380173264	-0.267560900902997	-0.427934380173264	-0.427934380173264	-0.427934380173264	-0.267560900902997	-0.267560900902997	-0.427934380173264	-0.427934380173264	-0.267560900902997	-0.267560900902997	-0.427934380173264	-0.267560900902997	-0.427934380173264	-0.267560900902997	-0.267560900902997	-0.427934380173264	-0.427934380173264	-0.427934380173264	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.427934380173264	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.427934380173264	-0.427934380173264	-0.427934380173264	-0.427934380173264	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.427934380173264	-0.427934380173264	-0.267560900902997	-0.427934380173264	-0.427934380173264	-0.427934380173264	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.267560900902997	-0.267560900902997
12	cpd00009[c0]	41.2490603414053	41.2490603414053	41.2490603414053	39.9969035331481	41.2490603414053	39.9969035331481	41.2490603414053	39.9969035331481	39.9969035331481	39.9969035331481	41.2490603414053	39.9969035331481	39.9969035331481	39.9969035331481	41.2490603414053	41.2490603414053	39.9969035331481	39.9969035331481	41.2490603414053	41.2490603414053	39.9969035331481	41.2490603414053	39.9969035331481	41.2490603414053	41.2490603414053	39.9969035331481	39.9969035331481	39.9969035331481	41.2490603414053	41.2490603414053	41.2490603414053	39.9969035331481	41.2490603414053	41.2490603414053	41.2490603414053	41.2490603414053	39.9969035331481	39.9969035331481	39.9969035331481	39.9969035331481	41.2490603414053	41.2490603414053	41.2490603414053	39.9969035331481	39.9969035331481	41.2490603414053	39.9969035331481	39.9969035331481	39.9969035331481	41.2490603414053	41.2490603414053	41.2490603414053	41.2490603414053	41.2490603414053	41.2490603414053	41.2490603414053	41.2490603414053	41.2490603414053
13	cpd00006[c0]	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043
14	cpd00016[c0]	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043
15	cpd00156[c0]	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.352233189091625	-0.307715523090583	-0.352233189091625	-0.307715523090583	-0.352233189091625	-0.352233189091625	-0.352233189091625	-0.307715523090583	-0.352233189091625	-0.352233189091625	-0.352233189091625	-0.307715523090583	-0.307715523090583	-0.352233189091625	-0.352233189091625	-0.307715523090583	-0.307715523090583	-0.352233189091625	-0.307715523090583	-0.352233189091625	-0.307715523090583	-0.307715523090583	-0.352233189091625	-0.352233189091625	-0.352233189091625	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.352233189091625	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.352233189091625	-0.352233189091625	-0.352233189091625	-0.352233189091625	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.352233189091625	-0.352233189091625	-0.307715523090583	-0.352233189091625	-0.352233189091625	-0.352233189091625	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.307715523090583	-0.307715523090583
16	cpd00254[c0]	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043
17	cpd15500[c0]	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043
18	cpd00038[c0]	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.135406821203723	-0.0424026391792249	-0.135406821203723	-0.0424026391792249	-0.135406821203723	-0.135406821203723	-0.135406821203723	-0.0424026391792249	-0.135406821203723	-0.135406821203723	-0.135406821203723	-0.0424026391792249	-0.0424026391792249	-0.135406821203723	-0.135406821203723	-0.0424026391792249	-0.0424026391792249	-0.135406821203723	-0.0424026391792249	-0.135406821203723	-0.0424026391792249	-0.0424026391792249	-0.135406821203723	-0.135406821203723	-0.135406821203723	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.135406821203723	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.135406821203723	-0.135406821203723	-0.135406821203723	-0.135406821203723	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.135406821203723	-0.135406821203723	-0.0424026391792249	-0.135406821203723	-0.135406821203723	-0.135406821203723	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249	-0.0424026391792249
19	cpd11493[c0]	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043
